Titre,Ingrédients,Instructions
Soupe carottes patate douce,"Carotte(s) (500 g), Patate(s) douce(s) (250 g), Crème liquide (25 cl), Oignon(s) (1), Huile d'olive (2 c. à soupe), Bouillon de volaille (1 cube(s)), Curry (1 c. à café), Piment d'Espelette (1 c. à café), Sel (), Poivre ()",
Mini pizza Halloween,"Pâte à pizza (1), Sauce tomate (200 g), Gruyère râpé (50 g), Olives noires (10), Mozzarella (1 boule)",
Soupe de potimarron à la cocotte minute,"Potimarron (1), Pomme(s) de terre (3), Oignon(s) (1), Blanc(s) de poireau(x) (1), Crème liquide (20 cl), Gruyère râpé (50 g), Sel (), Poivre ()",
Soupe épinard pomme de terre,"Jeune pousse d'épinard (300 g), Pomme(s) de terre (3), Échalote(s) (2), Beurre (15 g), Huile d'olive (1 c. à soupe), Bouillon de volaille (2 cube(s)), Ricotta (250 g), Ciboulette (1 botte(s)), Sel (), Poivre ()",
La ratatouille de Ratatouille par FAST[OCHE]®,"Courgette jaune (1), Courgette verte (1), Aubergine(s) (1), Tomate(s) (2), Poivron(s) rouge(s) (1), Oignon(s) (1), Ail (1 Gousse), Huile d'olive (), Sel (), Poivre (), Herbes de provence ()",
Pickles d'oignons rouges,"Gros Oignon(s) rouge(s) (2), Vinaigre blanc (60 ml), Eau (160 ml), Gros sel (1 c. à soupe), Sucre roux (2 c. à soupe), Sel poivre ()",
Seiches  a la tomate,"Seiche(s) (400 g), Ail (2 gousse(s)), Oignon(s) (2), Tomate(s) (4), Vin blanc (0,5 verre(s)), Concentré de tomates (70 g), Sucre en poudre (1 c. à soupe), Huile d'olive (1 c. à soupe), Persil (Quelques brin(s)), Sel poivre ()",
Tomates séchées,"Tomate(s) (1,5 kg), Sucre (1 c. à soupe), Ail émincé (2 gousse(s)), Thym (2 branche(s)), Laurier (2 feuilles), Romarin (1 branche(s)), Huile d'olive (150 ml), Sel poivre ()",
Soupe tomates pommes de terre au Thermomix,"Tomate(s) (850 g), Pomme(s) de terre (150 g), Eau (150 g), Oignon(s) (1), Huile d'olive (20 g), Crème fraîche épaisse (20 g), Sel, poivre ()",
Soupe courgette pomme de terre carotte,"Carotte(s) (3), Courgette(s) (1), Pomme(s) de terre (2), Échalote(s) (3), Bouillon de poule (2 cube(s)), Huile d'olive (4 c. à soupe), Ail (1 Gousse), Crème liquide (20 cl), Persil plat (1 bouquet(s)), Graine(s) de courge (20 g), Sel (), Poivre (), Baie rose(s) (), Pain de campagne (2 tranche(s))",
Velouté de courge au Thermomix,"Courge (700 g), Eau (300 g), Beurre (30 g), Sel (0,5 c. à café), Poivre au moulin ()",
Verrines de potimarron au chorizo,"Potimarron (1), Ail (3 gousse(s)), Chorizo fort (100 g), Parmesan râpé (100 g), Huile d'olive (2 c. à soupe), Bouillon de volaille (1 cube(s)), Paprika (1 c. à café), Sel (), Poivre du moulin ()",
Tomates farcies au Cookeo,"Chair à saucisse(s) (600 g), Tomate(s) (5), Eau (50 ml), Ail (1 Gousse), Romarin (1 branche(s)), Thym (2 Branches), Sel (), Poivre ()",
Soupe potiron carotte pomme de terre,"Potiron (1 kg), Pomme(s) de terre (4), Carotte(s) (2), Oignon(s) (1), Huile d'olive (1 c. à soupe), Bouillon de volaille (1 cube(s)), Curry (1 c. à café), Crème fraîche épaisse (20 cl), Noisette(s) (20 g), Coriandre fraîche (1 bouquet(s)), Sel (), Poivre ()",
Soupe de courgette et pommes de terre au Thermomix,"Courgette(s) (600 g), Pomme(s) de terre (200 g), Ail (1 gousse(s)), Huile d'olive (20 g), Bouillon cube(s) (1)",
Velouté de petits pois au Thermomix,"Petits pois surgelés (500 g), Eau (300 g), Bouillon cube de légumes (1), Oignon(s) (1), Ail (1 Gousse), Huile d'olive (2 c. à soupe), Crème fraîche (2 c. à soupe)",
Velouté de petits pois au Thermomix,"Petits pois surgelés (500 g), Eau (300 g), Bouillon cube de légumes (1), Oignon(s) (1), Ail (1 Gousse), Huile d'olive (2 c. à soupe), Crème fraîche (2 c. à soupe)",
Tomates farcies au Cookeo,"Chair à saucisse(s) (600 g), Tomate(s) (5), Eau (50 ml), Ail (1 Gousse), Romarin (1 branche(s)), Thym (2 Branches), Sel (), Poivre ()",
Betterave confite au four,"Betterave(s) crue(s) (4), Vinaigre balsamique (1 c. à soupe), Persil ciselé (1 c. à soupe), Fleur de sel (Un peu)",
Soupe patate douce et lait de coco,"Patate(s) douce(s) (3), Oignon(s) (1), Lait de coco (225 ml), Eau (500 ml), Gingembre en poudre (1 c. à café), Piment d'Espelette (), Huile d'olive (), Sel ()",
Velouté potimarron coco curry,"Potimarron (1), Oignon(s) (1), Ail (3 gousse(s)), Beurre doux (20 g), Crème de coco (20 cl), Curry (1 c. à café), Piment de cayenne (1 c. à café), Cardamome (3 gousse(s)), Coriandre fraîche (1 bouquet(s)), Sel (), Poivre ()",
Galette de flocons d'avoine au fromage,"Farine (), Flocon d'avoine (), Fromage râpé (150 g), Œuf(s) (2), Lait (5 cl), Sel poivre ()",
Noix de Saint-Jacques en persillade,"Saint Jacques(es) (12 noix), Huile d'olive (2 c. à soupe), Persil frais (1 botte(s)), Ail (1 Gousse), Sel poivre ()",
Cake à la patate douce,"Patate(s) douce(s) (350 g), Farine (150 g), Oignon(s) (1), Œuf(s) (3), Beurre doux (50 g), Lait (20 cl), Comté râpé (100 g), Huile d'olive (1 c. à soupe), Levure chimique (1 Sachet), Curry (1 c. à soupe), Sel (), Poivre ()",
Velouté de cèpes au Thermomix,"Cèpe(s) (400 g), Eau (600 g), Crème liquide (400 g), Beurre (40 g), Bouillon de volaille (1 cube(s)), Échalote(s) (3), Ail (2 gousse(s)), Persil frais (1 poignée(s)), Sel poivre ()",
Tomates cerises rôties au four,"Tomate(s) cerise(s) (1 kg), Huile d'olive (3 c. à soupe), Thym séché (), Ail en poudre (), Sel poivre ()",
Soupe brocolis carotte,"Brocoli(s) (1 kg), Carotte(s) (3), Oignon(s) (2), Ail (1 gousse(s)), Bouillon cube(s) (1), Sel, poivre ()",
"Tomates cerise confites à l'huile d'olive, ail et thym","Tomate(s) cerise(s) (1 kg), Ail (3 gousse(s)), Thym (3 branche(s)), Huile d'olive (2 c. à soupe), Sucre blond (2,5 c. à café), Sel (2,5 c. à café)",
Velouté potimarron butternut,"Potimarron (1), Courge butternut (1), Oignon(s) (2), Crème liquide entière (20 cl), Gruyère râpé (80 g), Noix de muscade en poudre (1 c. à café), Sel (), Poivre ()",
Tofaille,"Pomme(s) de terre (1 kg), Porc (1 morceau(x)), Lardons fumés (150 g), Oignon(s) (2), Poireau(x) (1), Ail (1 gousse(s)), Huile d'olive (), Sel, poivre ()",
"Tarte aux épinards, saumon et chèvre","Pâte(s) brisée(s) (1), Épinard(s) (300 g), Saumon fumé (200 g), Crème fraîche épaisse (250 ml), Œuf(s) (3), Gruyère râpé (70 g), Bûche de chèvre (0,5), Muscade (), Sel (), Poivre ()",
Soupe carotte coco Thermomix,"Carotte(s) (700 g), Eau (300 g), Beurre (30 g), Lait (20 cl), Oignon(s) (1)",
Pico de gallo,"Tomate(s) (3), Coriandre (1 bouquet(s)), Oignon(s) blanc(s) (1), Lime (2), Piment doux (1)",
Mafé rapide,"Tomate(s) fraîche(s) (2), Ail écrasé (2 gousse(s)), Oignon(s) haché(s) (2), Oignon(s) vert(s) (1 bouquet(s)), Poulet (0,5 morceau(x)), Huile végétale (100 ml), Concentré de tomates (1 c. à soupe), Pâte d'arachide (3 c. à soupe), Cube Maggi (1), Sel, poivre (l)",
Fenouil braisé à la tomate,"Bouillon de légumes (20 cl), Fenouil (3 bulbes), Tomate(s) fraîche(s) (3), Échalote(s) (1), Graine de coriandre (1 c. à café), Huile d'olive (1 c. à soupe), Aneth (2 brin(s)), Sel (), Poivre ()",
Jambon au porto et à la tomate,"Crème fraîche (50 cl), Maïzena (1 c. à café), Concentré de tomates (1 c. à soupe), Porto (2 c. à soupe), Beurre (1 noix), Jambon (4 tranche(s)), Gruyère ()",
Terrine de thon au Thermomix,"Thon au naturel égoutté (375 g), Crème fraîche (200 g), Œuf(s) (3), Concentré de tomate (70 g), Farine (1 c. à soupe), Échalote(s) (1), Jus de citron (0,5), Sel poivre ()",
"Tarte à la tomate, emmental et moutarde","Pâte(s) brisée(s) (1), Huile d'olive (2 c. à soupe), Tomate(s) (3), Moutarde forte (), Emmental (150 g), Sel (), Poivre ()",
Œuf parfait,Œuf(s) (4),
Velouté de potimarron et lentilles corail,"Potimarron (1), Lentilles corail (200 g), Ail (2 gousse(s)), Bouillon de volaille (1 cube(s)), Crème liquide (20 cl), Paprika (1 c. à café), Poivre du moulin ()",
"Méli-mélo de poivrons, tomates, courgettes à l'ail","Tomate(s) (6), Poivron(s) rouge(s) (4), Courgette(s) (2), Ail (5 gousse(s)), Huile d'olive (), Sel ()",
Velouté de châtaignes au Thermomix,"Châtaigne cuite (700 g), Lait (350 g), Crème liquide (200 g), Eau (500 ml), Bouillon de volaille (1 cube(s)), Oignon(s) (1), Huile d'olive (2 c. à soupe), Sel, poivre (), Châtaigne(s) (ration), Châtaigne(s) ()",
Soupe de persil au Thermomix,"Persil frais (2 bouquet(s)), Bouillon de volaille (500 g), Philadelphia (ou St Moret) (100 g), Huile d'olive (20 g), Ail (1 gousse(s)), Sel, poivre ()",
"Quiche au saumon, poireaux et chèvre","Pâte(s) feuilletée(s) (1), Blanc(s) de poireau(x) (2), Saumon fumé (5 tranche(s)), Œuf(s) (3), Crème fraîche liquide (15 cl), Fromage de chèvre (1 bûche), Beurre (1 c. à soupe), Aneth (1 c. à café), Sel (), Poivre du moulin ()",
Risotto tomate au Cookeo,"Riz Arborio (300 g), Oignon(s) (1), Tomate concassée (200 g), Eau (500 ml), Parmesan râpé (50 g), Huile d'olive (1 c. à soupe), Sel (), Poivre ()",
Velouté de potimarron au lait de coco au Thermomix,"Potimarron (700 g), Échalote(s) (2), Beurre (20 g), Lait de coco (200 g), Eau (100 g), Crème de coco (2 c. à soupe), Sel, poivre ()",
Soupe potimarron vert,"Potimarron (1), Oignon(s) (1), Huile d'olive (2 c. à soupe), Bouillon de volaille (1 cube(s)), Crème (20 cl), Copeau(x) de parmesan (80 g), Sel (), Poivre ()",
Soupe potimarron vert,"Potimarron (1), Oignon(s) (1), Huile d'olive (2 c. à soupe), Bouillon de volaille (1 cube(s)), Crème (20 cl), Copeau(x) de parmesan (80 g), Sel (), Poivre ()",
Soufflé au fromage au Thermomix,"Lait (300 ml), Farine (60 g), Beurre (50 g), Gruyère (150 g), Fromage râpé (50 g), Œuf(s) (4), Crème fraîche liquide (10 cl), Noix de muscade (1 pincée(s)), Sel poivre ()",
Soupe de butternut et potimarron,"Potimarron (1), Courge butternut (1), Pomme(s) de terre (2), Oignon(s) (1), Lait demi-écrémé (1 l), Cumin en poudre (1 c. à café), Curry en poudre (1 c. à café), Coriandre en poudre (1 c. à café), Sel (), Poivre ()",
Gougères au comté,"Comté (75 g), Œuf(s) (3), Farine (125 g), Beurre (50 g), Sel (0,5 c. à café)",
Seitan,"Gluten de blé (150 g), Bouillon de légumes (3 c. à soupe), Oignon(s) (1), Ail (1 Gousse), Levure (1 c. à soupe), Concentré de tomate (1 c. à soupe), Thym (1 branche(s)), Sel poivre ()",
Escalope savoyarde,"Escalope(s) de veau (4), Crème fraîche (épaisse) (2 pot(s)), Jambon blanc (4 tranche(s)), Beaufort (4 tranche(s)), Œuf(s) (2), Sel (), Poivre ()",
Vol au vent au Cookeo,"Blanc(s) de poulet (700 g), Champignon(s) de paris (250 g), Quenelle(s) (2), Oignon(s) (1), Beurre doux (20 g), Farine (70 g), Crème liquide (10 cl), Eau (450 ml), Fond de volaille (1 c. à soupe), Persil (), Sel (), Poivre ()",
Cake carotte noix,"Farine (200 g), Sucre en poudre (200 g), Beurre (100 g), Noix (80 g), Carotte(s) (5), Œuf(s) (3), Sucre vanillé (1 sachet(s)), Levure chimique (0,5 sachet(s))",
Velouté de potimarron froid,"Potimarron (1), Oignon(s) (1), Ail (2 gousse(s)), Huile d'olive (2 c. à soupe), Crème (20 cl), Racine de gingembre (10 g), Coriandre en poudre (1 c. à café), Coriandre fraîche (1 bouquet(s)), Citron(s) (1), Poivre 5 baies ()",
Quesadillas au fromage,"Fromage râpé (250 g), Tortilla(s) de blé (16), Oignon(s) (1 botte(s)), Coriandre fraîche (1 bouquet(s)), Piment(s) rouge(s) (3), Sauce salsa (250 ml), Guacamole (250 ml), Crème fraîche épaisse (100 g), Sel fin (), Poivre du moulin ()",
Salade de chou rouge au Thermomix,"Chou rouge (500 g), Carotte(s) (1), Huile d'olive (4 c. à soupe), Raisins secs (2 c. à soupe), Vinaigre balsamique blanc (2 c. à soupe), Fleur de sel (1 pincée(s)), Poivre au moulin ()",
Mafé végétarien,"Patate(s) douce(s) (2), Tomate(s) (2), Oignon(s) (1), Huile d'arachide (2 c. à soupe), Concentré de tomates (2 c. à soupe), Pâte d'arachide (2 c. à soupe), Bouillon cube(s) (1), Bouquet(s) garni(s) (1), Sel, poivre ()",
Risotto à la tomate au Thermomix,"Riz à risotto (200 g), Oignon(s) (1), Ail (1 Gousse), Huile d'olive (20 g), Lait (200 g), Coulis de tomate (500 g), Volaille (1 cube(s)), Basilic (), Sel (), Poivre ()",
Houmous de betterave à tartiner,"Betterave(s) cuite(s) (400 g), Pois chiches en conserve (400 g), Huile d'olive (2 c. à soupe), Jus de citron (1 c. à soupe), Yaourt (1), Ail (1 Gousse), Sel poivre ()",
Tomates et courgettes provençales,"Tomate(s) (4), Courgette(s) (3), Huile d'olive (3 c. à soupe), Herbes de provence (), Ail (), Sel (), Poivre ()",
Salsifis à la crème,"Salsifis (300 g), Crème liquide (10 cl), Beurre (1 c. à soupe), Lait (30 cl), Farine (1 c. à soupe), Poivre (), Sel (), Persil ()",
Pâtes à l'encre de seiche et au saumon fumé,"Pâtes (300 g), Fumet de poisson (2 c. à café), Saumon fumé (120 g), Échalote(s) (2), Crème fraiche épaisse (4 c. à soupe), Ciboulette (), Beurre (), Poivre ()",
Cake au chèvre noix et miel,"Farine (150 g), Bûche de chèvre (150 g), Gruyère râpé (100 g), Noix concassée(s) (50 g), Pignon(s) de pin (20 g), Lait (15 cl), Œuf(s) (3), Miel (3 c. à soupe), Huile (10 cl), Levure (1 Sachet), Sel, poivre ()",
Velouté de potimarron au lait,"Potimarron (1), A corriger (1 l), Beurre doux (20 g), Sucre en poudre (2 c. à soupe), Cannelle (2 c. à café)",
Torche aux marrons,"Crème de marron (200 g), Blanc(s) d'œuf(s) (150 g), Sucre en poudre (70 g), Sucre glace (90 g), Crème liquide (30 cl), Gélatine (3 feuille)",
Salade potimarron,"Potimarron (1), Jeune pousse d'épinard (1 pousse(s)), Ail (1), Huile d'olive (5 c. à soupe), Parmesan (40 g), Cerneaux de noix (20 g), Crème de vinaigre balsamique aux fruits des bois Toscoro (1 c. à soupe), Ciboulette (1 bouquet(s))",
Oeufs farcis au saumon fumé,"Œuf(s) (4), Saumon fumé (4 tranche(s)), Mayonnaise (3 c. à soupe), Vinaigre (1 c. à soupe), Moutarde (1 c. à soupe), Ciboulette (1 c. à soupe), Sel poivre ()",
Topinambours à la crème,"Topinambour (1 kg), Beurre (100 g), Crème fraîche (épaisse) (4 c. à soupe), Sel poivre ()",
Tacos végétarien,"Tortilla(s) de blé (8), Poivron(s) rouge(s) (2), Fromage frais (100 g), Avocat(s) (1), Tomate(s) (2 grappe), Oignon(s) rouge(s) (1), Tomate(s) séchée(s) (20 g), Citron(s) vert(s) (2), Ail (1 gousse(s)), Coriandre fraîche (), Sel, poivre (l)",
Riz à la tomate facile,"Riz long (600 g), Concentré de tomates (100 g), Ail haché (1 gousse(s)), Oignon(s) émincé(s) (1), Huile de tournesol (), Sel ()",
Supions sauce à l'armoricaine,"Supions (1,2 kg), Tomate concassée (500 g), Oignon(s) (2), Ail (3), Vin blanc (50 cl), Cognac (20 cl), Thym (1 branche(s)), Feuille(s) de laurier (1), Huile d'olive (), Sel, poivre ()",
Galettes  bretonnes aux lardons et à l'oeuf,"Farine de blé noir (150 g), Gros sel (10 g), Eau froide (35 cl), Œuf(s) (1), Lardons (200 g), Œuf(s) (4), Gruyère râpé (250 g), Huile ()",
Mousse d'asperge,"Œuf(s) dur(s) (2), Asperge(s) verte(s) (100 g), Mascarpone (80 g), Crème fraîche épaisse (1 c. à soupe), Piment d'Espelette (1 pincée(s)), Sel poivre ()",
Mini-cannelés au camembert,"Camembert Président (1), Lait (330 ml), Beurre (40 g), Jaune(s) d'œuf(s) (3), Farine (125 g), Ciboulette (1 bouquet(s)), Paprika ()",
Pan con tomate,"Baguette (1), Tomate(s) (2), Ail (2 gousse(s)), Sel, poivre ()",
Soupe de lentilles au Cookeo,"Lentille(s) sèche(s) (120 g), Oignon(s) (2), Carotte(s) (1), Bouillon cube(s) (1), Huile d'olive (1 c. à café), Sel, poivre ()",
