Titre,Ingrédients,Instructions
Congre au four,"Congre(s) (4 darne(s)), Tomate(s) (3), Oignon(s) (2), Vin blanc (20 cl), Persil hâché (1 c. à soupe), Sel poivre ()",
Darne de saumon citronée au four de grand-mère,"Saumon (3 darne(s)), Citron(s) (2), Oignon(s) (1), Tomate(s) (1), Ail (3 gousse(s)), Échalote(s) (1), Huile d'olive (), Persil (), Coriandre (), Sel poivre ()",
Rôti de saumon farci aux Noix de Saint-Jacques,"Filet de saumon (600 g), Noix de St Jacques avec corail (12), Crème fraîche épaisse (20 cl), Citron(s) (0,5), Blanc(s) d'œuf(s) (3), Sel (), Poivre (5 baies)",
Roussette au four,"Roussette(s) (1 kg), Champignon(s) de paris (150 g), Beurre (40 g), Eau (20 cl), Oignon(s) (3), Tomate(s) (3), Ail (2 gousse(s)), Chapelure (), Persil (), Sel poivre ()",
Ailes de raie aux câpres faciles,"Raie(s) (4), Margarine (60 g), Citron(s) (1), Câpre(s) (3 c. à soupe), Vinaigre blanc (2 c. à soupe), Vinaigre de vin (1 c. à soupe), Persil (), Sel poivre ()",
Cassolette de poissons et St jacques,"Saumon frais (100 g), Merlan (100 g), Cabillaud (100 g), Noix de St Jacques (100 g), Crème fraiche liquide (20 cl), Poireau(x) (1), Carotte(s) (2), Vin blanc sec (20 cl), Aneth (Branches), Sel poivre ()",
Friture de poisson,"Poisson (800 g), Huile de friture (), Farine (), Sel poivre (), Citron(s) ()",
Caldeirada (ragoût de poisson portugais),"Julienne (de légumes) (1,2 filets), Calamar(s) (600 g), Vin blanc sec (25 cl), Pomme(s) de terre (1,5 kg), Tomate(s) (1 kg), Oignon(s) (500 g), Ail (4 gousse(s)), Poivron (2), Petit piment frais (1), Persil plat (1 bouquet(s)), Laurier (2 feuilles), Huile d'olive (6 c. à soupe), Paprika doux (1 c. à soupe), Sel (), Poivre ()",
Chipirons à la basquaise,"Oignon(s) (3), Tomate(s) (1 kg), Poivron(s) rouge(s) (3), Huile d'olive (3), Sucre (1), Vin blanc sec (1 verre(s)), Piment d'Espelette (), Persil plat (1 bouquet(s)), Laurier (1 feuilles), Sel ()",
Poisson à la sauce tomate épicée,"Cabillaud (4 filets), Oignon(s) (1), Échalote(s) (2), Ail (2 gousse(s)), Tomate(s) (1 quartier(s)), Concentré de tomates (1 boîte(s)), Persil (), Bouquet(s) garni(s) (1), Clou(s) de girofle (2), Huile d'olive (), Piment rouge (1), Vin blanc sec (1 verre(s)), Eau (500 ml)",
Poisson à la bordelaise,"Poisson (4 filets), Échalote(s) (2), Ail (1 Gousse), Vin blanc (10 cl), Chapelure (100 g), Persil (1 bouquet(s)), Beurre (30 g), Jus de citron (0,5), Huile d'olive ()",
Terrine de poisson au Thermomix,"Dos de cabillaud (300 g), Saumon frais (300 g), Crevettes roses décortiquées (200 g), Crème fraîche liquide (120 g), Œuf(s) (4), Oignon(s) (1), Ail (2 gousse(s)), Biscotte(s) (3), Persil (3 Branches), Sel poivre (), Beurre ()",
Tataki de saumon au sésame,"Saumon (4 pavé(s)), Huile de sésame (100 ml), Sauce teriyaki (50 ml), Sauce soja (50 ml), Graines de sésame (4 c. à soupe), Citron(s) vert(s) (1), Huile d'olive (1 c. à soupe), Gingembre (1 cm)",
Terrine de poisson au Thermomix,"Dos de cabillaud (300 g), Saumon frais (300 g), Crevettes roses décortiquées (200 g), Crème fraîche liquide (120 g), Œuf(s) (4), Oignon(s) (1), Ail (2 gousse(s)), Biscotte(s) (3), Persil (3 Branches), Sel poivre (), Beurre ()",
Tataki de saumon au sésame,"Saumon (4 pavé(s)), Huile de sésame (100 ml), Sauce teriyaki (50 ml), Sauce soja (50 ml), Graines de sésame (4 c. à soupe), Citron(s) vert(s) (1), Huile d'olive (1 c. à soupe), Gingembre (1 cm)",
Poisson cru à la tahitienne simple,"Thon frais (350 g), Tomate(s) (1), Concombre(s) (0,5), Citron(s) vert(s) (3), Lait de coco (20 cl), Oignon(s) ciselé (0,5), Coriandre (Quelques feuilles), Sel poivre ()",
Carrelet au four,"Carrelet(s) (1 kg), Huile d'olive (), Tomate(s) cerise(s) (12), Thym (1 branche(s)), Sel poivre ()",
Terrine de poisson bicolore,"Filet de saumon (350 g), Cabillaud (350 g), Œuf(s) (4), Crème fraîche (25 cl), Ail (1 gousse(s)), Persil (1 bouquet(s)), Piment (1 pincée(s)), Beurre (10 g), Sel, poivre ()",
Terrine de poissons simple,"Filet de merlu (800 filets), Crevette(s) décortiquée(s) (200 g), Chapelure (3 c. à soupe), Œuf(s) (6), Crème fraîche (25 cl), Persil (1 bouquet(s)), Oignon(s) (2), Ail (3 gousse(s)), Beurre et farine pour le moule (), Sel, poivre ()",
Coquilles de poisson gratinées aux poireaux,"Coquilles saint-jacques (4), Poisson blanc (200 g), Court-bouillon (1 litres), Beurre (90 g), Farine (70 g), Crème liquide (5 cl), Citron(s) (1), Blanc(s) de poireau(x) (2), Chapelure (50 g), Sel fin (), Poivre du moulin ()",
Boulettes de poisson au citron,"Filet(s) de poisson (1 kg), Oignon(s) (2), Ail (6 gousse(s)), Céleri (1 branche(s)), Persil (1 bouquet(s)), Pain rassis (4 tranche(s)), Œuf(s) (3), Huile d'olive (1 verre(s)), Farine (2 c. à soupe), Citron(s) (2), Quatre épices (2 pincée(s)), Gros sel (), Sel fin (), Poivre ()",
Seiche à la rouille au Cookeo,"Seiche(s) (500 g), Ail (2 gousse(s)), Oignon(s) (2), Tomate concassée (400 g), Concentré de tomates (1 c. à soupe), Huile d'olive (3 c. à soupe), Bouquet(s) garni(s) (1), Vin blanc (10 cl)",
Terrine de poisson facile et rapide,"Thon albacore (1 boîte(s)), Miette(s) de crabe (1 boîte(s)), Crevette(s) (1 boîte(s)), Chair de saumon (100 g), Œuf(s) (2), Crème fraîche épaisse (2 c. à soupe), Beurre (10 g), Sel poivre ()",
Dos de lieu noir au Cookeo,"Riz (200 g), Lieu noir(s) (4 dos), Carotte(s) (5), Eau (600 ml), Crème liquide (20 cl), Citron(s) (0,5), Huile (2 c. à soupe), Fumet de poisson (1 c. à café), Maizena (2 c. à soupe), Persil (), Sel poivre ()",
Ceviche au saumon et à l'avocat,"Filet de saumon (300 g), Citron(s) vert(s) (2), Petit(s) oignon(s) (1), Piment (1), Avocat(s) (2), Bouquet de fines herbes (1 bouquet(s)), Sel ()",
Saumonette au court-bouillon au Cookeo,"Vin blanc (10 cl), Eau (50 cl), Carotte(s) (2), Oignon(s) (2), Bouquet(s) garni(s) (1), Citron bio (0,5), Sel (), Poivre (), Graine d'aneth (1 c. à soupe), Tige de fenouil (1)",
Saumonette au Cookeo,"Roussette(s) ou petite(s) roussette(s) ou saumonette(s) (500 g), Champignon(s) de paris (300 g), Carotte(s) (3), Tomate concassée (200 g), Crème fraîche épaisse (100 g), Vin blanc sec (50 ml), Maizena (2 c. à soupe), Oignon(s) (1), Ail (1 Gousse), Garni (1 bouquet(s)), Huile d'olive (1 Filet(s)), Sel, poivre ()",
Darne de congre,"Congre(s) (600 g), Poireau(x) (1), Carotte(s) (1), Oignon(s) (1), Bouquet(s) garni(s) (1), Clou(s) de girofle (1), Sel, poivre ()",
Noix de Saint Jacques sauce citron,"Noix de saint jacques (12), Crème liquide (25 cl), Beurre (10 g), Échalote(s) (2), Citron(s) vert(s) (1)",
Dorade sébaste entière au four,"Sébaste(s) (1,2 kg), Fenouil (2 bulbes), Aneth (1 poignée(s)), Pastis (12 cl), Ail (4 gousse(s)), Citron(s) (1), Huile d'olive (), Sel (), Poivre (), Citron(s) ()",
Queue de lotte à l'armoricaine,"Queue de lotte (2,5 kg), Tomate(s) (500 g), Bisque(s) de homard (300 g), Vin blanc (20 cl), Farine (50 g), Échalote(s) (4), Ail (2 gousse(s)), Orange(s) (1), Cognac (4 c. à soupe), Huile ()",
Ceviche de thon,"Pamplemousse rose (1), Cive(s) (4), Gingembre frais (6 cm), Thon rouge (600 g), Citron(s) vert(s) (3), Huile d'olive (3 c. à soupe), Graines de sésame (), Sel (l), Poivre ()",
Langoustines au court-bouillon,"Langoustine(s) (1,5 kg), Eau (1,5 litres), Vin blanc (1 litres), Cognac (1 verre(s)), Bouillon cube de légumes (1), Céleri (1 Branches), Carotte(s) (1), Oignon(s) (1), Thym (1 Branches), Laurier (1 feuille), Persil frais (1 poignée(s)), Huile d'olive (2 c. à soupe), Sel (), Poivre du moulin ()",
Ecrevisses en bouillon de ma grand-mère,"Écrevisse(s) (24), Oignon(s) (1), Ail (1 gousse(s)), Huile d'arachide (), Laurier (2 feuilles), Thym (1 branche(s)), Eau (), Poivre noir (grain), Sel, poivre ()",
Ceviche de Saint-Jacques,"Noix de St Jacques (400 g), Citron(s) vert(s) (3), Coriandre (1 bouquet(s)), Ail (1 gousse(s)), Graine de coriandre (1 c. à café), Gingembre frais (1 cm), Huile d'olive (2 c. à soupe)",
"Gratin de poissons, légumes citronnés de Cyril Lignac","Carotte(s) râpée(s) (1), Pomme(s) de terre (800 g), Céleri émincé (2 Branches), Tomate(s) (3), Mimolette vieille (100 g), Persil ciselé (0,5 Botte(s)), Ciboulette (1 Botte(s)), Citron(s) (1), Filet de haddock (300 g), Filet de saumon (300 g), Huile d'olive (), Sel fin ()",
Cabillaud au Monsieur Cuisine,"Dos de cabillaud (800 g), Huile d'olive (4 c. à soupe), Thym séché (2 c. à café), Sel (), Poivre ()",
Poisson pané de ma maman,"Filet(s) de colin (4), Farine (0,5 verre(s)), Œuf(s) (2), Eau (0,5 verre(s)), Huile (0,5 verre(s)), Epices ()",
Pavé de maigre,"Pavé de maigre (4), Huile d'olive (1 c. à soupe), Beurre (10 g)",
Coquille aux restes de poisson à la béchamel,"Coquilles saint-jacques (4), Poisson blanc (800 g), Oignon(s) (2), Ail (3 gousse(s)), Farine (25 g), Beurre (25 g), Lait (50 cl), Muscade en poudre (1 pincée(s)), Persil frais (0,5 botte(s)), Chapelure (), Sel poivre ()",
Tataki de bonite,"Bonite (4 pavé(s)), Huile neutre (1 c. à soupe), Gingembre frais (10 g), Oignon(s) nouveau (2), Sauce soja (100 ml), Jus de citron(s) vert(s) (50 ml), Vinaigre de riz (25 ml), Huile de sésame (25 ml), Sucre en poudre (10 g)",
Poulpes au four,"Poulpe(s) (1,5 kg), Pomme(s) de terre (700 g), Oignon(s) (400 g), Gros Oignon(s) rouge(s) (1), Poivron(s) vert(s) (400 g), Carotte(s) (1), Ail (3 gousse(s)), Feuille(s) de laurier (1), Persil (1 bouquet(s)), Huile d'olive (30 cl), Sel, poivre ()",
Poulpes au four,"Poulpe(s) (1,5 kg), Pomme(s) de terre (700 g), Oignon(s) (400 g), Gros Oignon(s) rouge(s) (1), Poivron(s) vert(s) (400 g), Carotte(s) (1), Ail (3 gousse(s)), Feuille(s) de laurier (1), Persil (1 bouquet(s)), Huile d'olive (30 cl), Sel, poivre ()",
Filet de sébaste en papillote,"Sébaste(s) (4 Filet(s)), Champignon(s) de paris (120 g), Tomate(s) cerise(s) (8), Courgette(s) (1), Carotte(s) (2), Citron(s) (1), Échalote(s) (1), Vin blanc (1 verre(s)), Laurier (2 feuilles), Câpre(s) (1 c. à soupe), Huile d'olive (), Sel (), Poivre ()",
Cabillaud et crumble de chorizo au Thermomix,"Dos de cabillaud (600 g), Chorizo (50 g), Beurre (15 g), Parmesan râpé (35 g), Chapelure (20 g), Huile (1 c. à soupe), Sel (), Poivre ()",
Encornets farcis à l'italienne de Luana Belmondo,"Encornet(s) (12 cm), Farce (), Petite(s) (1 kg), Anchois au sel (3 Filet(s)), Bresaola (3 tranche(s)), Parmesan (1), Échalote ciselée (2), Persil plat ciselé (1 bouquet(s)), Épinard (100 feuilles), Pistache(s) mondée(s) (100 g), Sauce (), Pulpe de tomate (800 g), Pancetta (3 tranche(s)), Oignon(s) ciselé (1), Origan (), Huile d'olive (), Sel (), Poivre ()",
Cataplana aux fruits de mer de Cyril Lignac,"Lotte (90 g), Crevettes roses (8), Moule(s) (200 g), Palourde(s) (200 g), Oignon(s) émincé(s) (1), Poivron(s) vert(s) (1), Poivron(s) rouge(s) (1), Pomme(s) de terre (3), Sauce tomate (200 g), Persil haché (2 c. à soupe), Tomate(s) (2), Vin blanc (10 cl), Huile d'olive (), Huile de friture (), Sel fin ()",
Wok de poisson et chou chinois,"Poisson blanc (550 g), Crevette(s) rose(s) cuite(s) (200 g), Chou chinois (1), Carotte(s) (1), Poivron(s) vert(s) (0,5), Poivron(s) jaune(s) (0,5), Citron(s) jaune(s) (1), Sauce soja (4 c. à soupe), Huile de tournesol (), Coriandre fraîche (brin(s)), Poivre ()",
"Poisson en croûte de sel, vierge de légumes de Cyril Lignac","Poisson (1 kg), Sel de Guérande (2 kg), Blanc(s) d’œuf(s) (10 cl), Herbe(s) séchée(s) (), Tomate(s) cerise(s) (12), Courgette(s) (1), Brocoli(s) (50 g), Citron(s) jaune(s) (1), Huile d'olive (), Fleur de sel (), Sel (), Poivre du moulin (), Piment d'Espelette (), Poireau(x) (2), Beurre (20 g), Bouillon de légumes (20 cl)",
"Poisson au four à l'huile d'olive, vierge de légumes","Poisson (4 pavé(s)), Huile d'olive (15 cl), Thym frais (4 Brin(s)), Bouillon de légumes (25 cl), Piment d'Espelette (), Citron(s) jaune(s) (2), Tomate(s) cerise(s) (100 g), Petits pois (100 g), Brocoli(s) (1), Olives (10)",
Aile de raie aux câpres au Cookeo,"Raie(s) (4), Crème épaisse (20 cl), Vin blanc (15 cl), Câpre(s) (3 c. à soupe), Farine (2 c. à soupe), Bouquet(s) garni(s) (1), Fumet de poisson (1 c. à café), Sel, poivre ()",
Court bouillon de poisson,"Darnes de dorade (4), Tomate(s) (4), Citron(s) vert(s) (1), Sauce tomate (2 c. à soupe), Oignon(s) (1), Ail (4 gousse(s)), Persil (), Thym (), Clou(s) de girofle (), Piment (1), Feuille de bois d'Inde (), Huile (), Sel, poivre ()",
Tagra au pageot,"Pageot(s) de chaque (kg), Pomme(s) de terre (1 kg), Tomate(s) mûre(s) (1 kg), Piment(s) vert(s) (2), Poivron(s) vert(s) (2), Citron(s) (4), Huile d'olive (2 verre(s)), Origan séché (1 c. à soupe), Coriandre fraîche (2 bouquet(s)), Persil plat (1 bouquet(s)), Ail (3 gousse(s)), Laurier (3 feuilles), Paprika (1 c. à soupe), Cumin (1 c. à soupe), Sel marin gris (1 c. à soupe), Poivre gris (1 c. à soupe)",
Pochouse aux poissons,"Poisson (1 kg), Petit salé (150 g), Ail (10 gousse(s)), Vin blanc sec (1 Bouteille(s)), Thym (Branches), Estragon (branche(s)), Beurre (125 g), Farine (2 c. à soupe), Sel,  Poivre blanc (500 g)",
Morue salée à la portugaise,"Morue salée (1), Pomme(s) de terre (1 kg), Tomate(s) (3), Oignon(s) (2), Piment (1), Sel poivre ()",
Saka saka au poisson,"Poisson (300 g), Feuille de manioc (1 botte(s)), Tige de ciboule (4), Ail (6 gousse(s)), Oignon(s) (2), Aubergine(s) (2), Chou(x) (100 g), Poivron (1), Huile d'arachide (10 cl)",
Filet d'églefin au Cookeo,"Églefin (4 Filet(s)), Blanc(s) de poireau(x) (4), Oignon(s) (2), Lait de coco (20 cl), Curry en poudre (1 c. à soupe), Gingembre en poudre (1 c. à soupe), Maïzena (1 c. à soupe), Sel poivre ()",
Croquettes de poisson pas chères en 15 min,"Poisson blanc (20 g), Œuf(s) (1), Oignon(s) (0,25), Chapelure (1 c. à soupe), Cerfeuil (), Beurre (), Sel ()",
Cotriade bretonne,"Poisson(s) varié(s) (2 kg), Pomme(s) de terre (1 kg), Beurre (50 g), Oignon(s) (3), Bouquet(s) garni(s) (1), Vin blanc sec (20 cl), Pain de campagne (6 tranche(s)), Vinaigre de cidre (1 c. à soupe), Huile d'arachide (3 c. à soupe), Sel (), Poivre ()",
Choucroute de la mer au Cookeo,"Choucroute crue (1 kg), Noix de saint jacques (8), Filet de haddock (400 g), Lotte (400 g), Pomme(s) de terre (4), Oignon(s) (3), Échalote(s) (1), Bouquet(s) garni(s) (1), Vinaigre blanc (2 c. à soupe), Vin blanc sec (1 l), Crème fraîche (30 cl), Beurre (10 g), Baie de genièvre (1 c. à soupe), Moutarde (1 c. à café), Estragon (2 brin(s)), Aneth (2 brin(s)), Sel poivre ()",
Nage de poissons et petits légumes d'hiver,"Filet de saumon (250 filet), Cabillaud (250 filet), Carotte(s) (2), Pomme(s) de terre (2), Poireau(x) (1), Marmite de bouillon (1), Lait de coco (40 cl)",
Cabillaud à la basquaise,"Oignon(s) (1), Trio de poivrons (3), Gousse(s) d'ail (2), Sauce tomate (1), Olives noires dénoyautée(s) (100 g), Cabillaud (500 pavé(s)), Origan (1 c. à soupe), Huile d'olive (2 c. à soupe), Persil ciselé (2 c. à soupe), Sel (), Piment d'Espelette ()",
Bar au beurre blanc,"Bar (1,5 kg), Vin blanc sec (1 Bouteille(s)), Eau (50 cl), Carotte(s) (2), Oignon(s) (2), Persil (), Bouquet(s) garni(s) (persil, thym, laurier) (), Sel poivre (), Vinaigre d'alcool (3 c. à soupe), Échalote(s) (2), Vin blanc (10 cl), Beurre (250 g)",
Papillote de poisson à la crème,"Filet de poisson blanc ferme (4), Échalote(s) (2), Citron(s) (1), Crème fraîche (épaisse) (50 cl), Ciboulette (), Sel (), Poivre ()",
Pain de poisson  (entrée froide),"Filet(s) de poisson (1 kg), Œuf(s) (6), Concentré de tomate (1 boîte(s)), Herbes de provence (1 c. à café), Ail (4 gousse(s)), Laurier (2 feuilles), Sel, poivre ()",
Matelotte d'anguilles,"Anguille (1 kg), Poitrine fumée (100 g), Champignon(s) de paris (100 g), Oignon(s) (16), Vin rouge (3 verre(s)), Cognac (3 c. à soupe), Farine (2 c. à soupe), Croûton(s) (8), Bouquet(s) garni(s) (1), Huile (4 c. à soupe), Sel poivre du moulin ()",
Congre à la bretonne,"Congre(s) (1,5 kg), Pomme(s) de terre (1,5 kg), Oignon(s) (4), Muscadet (1 verre(s)), Beurre demi-sel (100 g), Feuille de sauge (1 c. à café), Sel (), Poivre ()",
Anguille au vert à la flamande,"Anguille (2 kg), Fumet de poisson (1 l), Bière blonde (0,5 l), Épinard(s) (200 g), Oseille (100 g), Ortie (50 g), Persil (20 g), Estragon (20 g), Sauge (10 g), Menthe (10 g), Sarriette (1 pincée(s)), Bouquet(s) garni(s) (), Échalote(s) hachée(s) (1), Citron(s) (1), Beurre (), Sel, poivre ()",
Filet de perche du Nil poêlé et risotto d'orzo par HelloFresh,"Orzo (335 g), Perche du Nil(s) (4 Filet(s)), Lardon (80 g), Gousse(s) d'ail (4), Courgette(s) (2), Oignon(s) (2), Fenouil (1), Citron(s) jaune(s) (1), Bouillon de volaille (80 cl), Beurre (4 c. à soupe), Thym séché (4 c. à café), Huile d'olive vierge extra (), Sel poivre ()",
Anguille à la poulette,"Anguille (1 kg), Vin blanc (0,5 l), Crème fraîche (épaisse) (1,5 dl), Beurre (60 g), Farine (30 g), Oignon(s) haché(s) (1), Échalote(s) hachée(s) (1), Jaune(s) d'œuf(s) (1), Jus de citron (1), Persil hâché (), Sel (), Poivre ()",
Ragoût de seiche au Cookeo,"Seiche(s) (400 g), Pomme(s) de terre (8), Concentré de tomate (1 boîte(s)), Fumet de poisson (2 c. ? caf?), Oignon(s) (1), Huile d'olive (2 cuillère), Garni (1 bouquet(s)), Eau (10 cl), Sel (), Poivre ()",
Curry de poisson,"Limande(s) (400 g), Tomate concassée (200 g), Carotte(s) (2), Ail (3 gousse(s)), Lait de coco (200 ml), Bouillon de légumes (1), Curry (1 c. à soupe), Curcuma (1 c. à café), Cumin (1 c. à café), Coriandre fraîche (1 c. à soupe), Huile d'arachide (2 c. à soupe), Sel poivre (l)",
Poisson grillé sauce chien,"Poisson (1 kg), Cive(s) (3), Échalote(s) (2), Oignon(s) (1), Citron(s) (1), Ail (2 gousse(s)), Persil (), Piment (), Vinaigre (5 cl), Huile (2 c. à soupe), Sel, poivre ()",
